Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
4400,YT60VHY,Mercedes Econic 4 Axle Bin,Diesel,1.91,114802,8279,Kilometres,1.83
4401,YF63HWC,Mercedes  Econic 3 Axle Bin,Diesel,3.47,119048,19522,Kilometres,3.32
4402,YF63HWB,Mercedes Econic 3 Axle Bin,Diesel,2.81,89507,11951,Kilometres,2.68
4403,YF63HWP,Mercedes Econic 3 Axle Bin,Diesel,2.74,99614,13593,Kilometres,2.62
4404,YF63HWJ,Mercedes Econic 3 Axle Bin,Diesel,2.63,84953,10253,Kilometres,2.51
4405,YF63HWE,Mercedes Econic 3 Axle Bin,Diesel,2.83,91738,11753,Kilometres,2.7
4406,YF63HWG,Mercedes Econic 3 Axle Bin,Diesel,2.32,82335,10478,Kilometres,2.22
4407,YF63HWH,Mercedes Econic 3 Axle Bin,Diesel,2.98,90794,13879,Kilometres,2.85
4408,YF63HWD,Mercedes Econic 3 Axle Bin,Diesel,2.88,92627,13508,Kilometres,2.75
4409,YF63HWR,Mercedes Econic 3 Axle Bin,Diesel,3.04,102037,14295,Kilometres,2.9
4410,YF63HWA,Mercedes Econic 3 Axle Bin,Diesel,3.1,104713,14410,Kilometres,2.96
4411,YF63HWM,Mercedes Econic 3 Axle Bin,Diesel,2.74,89324,11555,Kilometres,2.62
4412,YF63HWN,Mercedes Econic 3 Axle Bin,Diesel,2.55,85567,11030,Kilometres,2.44
4413,YF63HWS,Mercedes Econic 3 Axle Bin,Diesel,3.13,88049,13130,Kilometres,2.99
4414,YF63HWO,Mercedes Econic 3 Axle Bin,Diesel,2.36,78143,9870,Kilometres,2.26
4415,YF63HWK,Mercedes  Econic 3 Axle Bin,Diesel,3.59,94990,14007,Kilometres,3.43
4416,YF63HWL,Mercedes Econic 3 Axle Bin,Diesel,3.16,93033,11135,Kilometres,3.02
4417,VX14LLV,Dennis Eagle Elite 3 Axle Bin,Diesel,2.83,60440,9342,Kilometres,2.7
4418,VX14LLW,Dennis Eagle Elite 3 Axle Bin,Diesel,2.28,93365,7787,Kilometres,2.18
4419,YK15GPF,Mercedes Econic 3 Axle Bin,Diesel,3.35,75182,14918,Kilometres,3.2
4420,YK15GPJ,Mercedes Econic 3 Axle Bin,Diesel,1.9,42330,8992,Kilometres,1.82
